#Wave	#Intensity
402	2434
404	2539
406	2578
408	2769
410	2976
412	3162
414	3264
416	2965
418	2787
420	2697
422	2801
424	2957
426	3263
428	3463
430	3819
432	3813
434	3688
436	3589
438	3403
440	3335
442	3245
444	3124
446	2915
448	2901
450	2858
452	2716
454	2620
456	2570
458	2533
460	2529
462	2400
464	2259
466	2239
468	2129
470	2099
472	2135
474	2237
476	2227
478	2346
480	2348
482	2438
484	2371
486	2376
488	2396
490	2374
492	2293
494	2190
496	2258
498	2374
500	2576
502	2704
504	2809
506	2858
508	2694
510	2574
512	2409
514	2231
516	2173
518	2182
520	2245
522	2279
524	2306
526	2238
528	2258
530	2195
532	2079
534	1980
536	1990
538	2006
540	2042
542	2115
544	2187
546	2232
548	2242
550	2293
552	2410
554	2537
556	2481
558	2386
560	2336
562	2357
564	2319
566	2228
568	2064
570	2089
572	2188
574	2195
576	2141
578	2077
580	2118
582	2112
584	2116
586	2079
588	2100
590	2045
592	2005
594	1972
596	1918
598	1915
600	1981
602	2016
604	2022
606	1951
608	1918
610	1962
612	1946
614	1935
616	2024
618	2070
620	2163
622	2202
624	2177
626	2104
628	2020
630	1983
632	2081
634	2118
636	2050
638	1943
640	2035
642	2008
644	1986
646	2054
648	2242
650	2498
652	2709
654	2875
656	2757
658	2752
660	2594
662	2313
664	2309
666	2207
668	2099
670	2118
672	2186
674	2069
676	2061
678	1969
680	1894
682	2050
684	2075
686	2070
688	2290
690	2441
692	2504
694	2756
696	2902
698	2891
700	2875
702	2880
704	2832
706	2794
708	2707
710	2719
712	2845
714	2897
716	2865
718	2701
720	2759
722	2648
724	2551
726	2494
728	2461
730	2393
732	2444
734	2356
736	2266
738	2408
740	2504
742	2577
744	2604
746	2488
748	2332
750	2257
752	2315
754	2406
756	2538
758	2824
760	3044
762	3291
764	3570
766	3729
768	4014
770	4261
772	4430
774	4575
776	4562
778	4414
780	4199
782	3909
784	3693
786	3537
788	3618
790	3693
792	3693
794	3721
796	3661
798	3517
800	3336
802	3363
804	3519
806	3845
808	4178
810	4423
812	4688
814	4847
816	4959
818	4956
820	4891
822	4664
824	4388
826	4222
828	4034
830	3853
832	3810
834	3722
836	3722
838	3561
840	3484
842	3390
844	3381
846	3514
848	3825
850	4257
852	4644
854	5036
856	5413
858	5499
860	5301
862	4904
864	4569
866	4128
868	3744
870	3414
872	3383
874	3638
876	3799
878	3991
880	4322
882	4623
884	4381
886	4015
888	3473
890	2925
892	2497
894	2168
896	1919
898	2071
900	2205
902	2438
904	2626
906	2681
908	2589
910	2433
912	2244
914	1999
916	1881
918	2001
920	2066
922	2017
924	1915
926	1859
928	1943
930	2107
932	2162
934	2479
936	2861
938	2917
940	2828
942	2702
944	2524
946	2429
948	2254
950	1910
952	1771
954	1797
956	1785
958	1642
960	1777
962	1831
964	1868
966	1961
968	1909
970	1817
972	1871
974	2116
976	2283
978	2488
980	2655
982	2630
984	2762
986	2800
988	2563
990	2393
992	2442
994	2536
996	2585
998	2823
1000	2842
1002	2875
1004	2962
1006	2760
1008	2644
1010	2619
1012	2662
1014	2716
1016	2765
1018	2578
1020	2468
1022	2335
1024	2167
1026	2331
1028	2250
1030	2164
1032	2202
1034	2080
1036	2006
1038	1978
1040	1736
1042	1729
1044	1621
1046	1438
1048	1054
1050	1138
1052	1157
1054	1131
1056	1308
1058	1376
1060	1503
1062	1457
1064	1452
1066	1448
1068	1481
1070	1352
1072	1175
1074	1134
1076	1151
1078	1172
1080	1200
1082	1289
1084	1281
1086	1212
1088	1367
1090	1514
1092	1490
1094	1508
1096	1375
1098	1262
1100	1157
1102	1077
1104	1175
1106	1224
1108	1341
1110	1526
1112	1631
1114	1706
1116	1840
1118	2070
1120	2131
1122	2104
1124	1806
1126	1735
1128	1689
1130	1555
1132	1693
1134	1741
1136	2008
1138	2079
1140	2077
1142	2078
1144	2255
1146	2392
1148	2548
1150	2598
1152	2645
1154	2732
1156	2691
1158	2480
1160	2293
1162	2144
1164	1960
1166	1874
1168	1665
1170	1416
1172	1489
1174	1531
1176	1292
1178	1286
1180	1134
1182	1259
1184	1439
1186	1349
1188	1317
1190	1557
1192	1696
1194	1603
1196	1641
1198	1501
1200	1471
1202	1646
1204	1695
1206	1899
1208	2207
1210	2448
1212	2490
1214	2534
1216	2337
1218	2024
1220	1810
1222	1555
1224	1440
1226	1250
1228	1210
1230	1023
1232	1112
1234	1167
1236	1256
1238	1226
1240	1560
1242	1919
1244	1798
1246	1867
1248	1635
1250	1508
1252	1568
1254	1761
1256	1863
1258	2264
1260	2524
1262	2975
1264	3486
1266	3721
1268	3889
1270	4189
1272	4142
1274	3915
1276	3378
1278	2963
1280	2612
1282	2254
1284	1673
1286	1677
1288	1829
1290	2014
1292	1929
1294	1978
1296	2196
1298	2236
1300	2207
1302	2415
1304	2907
1306	3125
1308	3130
1310	3113
1312	3217
1314	3127
1316	3098
1318	2856
1320	2860
1322	2900
1324	2813
1326	3046
1328	3237
1330	3460
1332	3631
1334	3770
1336	3819
1338	4063
1340	4281
1342	4639
1344	5091
1346	5284
1348	5222
1350	4904
1352	4664
1354	4443
1356	4162
1358	3708
1360	3596
1362	3409
1364	3485
1366	3562
1368	3578
1370	3691
1372	3615
