#Wave	#Intensity
402	1134
404	1470
406	1693
408	2110
410	2513
412	2952
414	3100
416	2710
418	2479
420	2367
422	2621
424	2829
426	3306
428	3692
430	4289
432	4354
434	4011
436	3561
438	2952
440	2477
442	1966
444	1522
446	1127
448	1202
450	1182
452	1137
454	1193
456	1211
458	1237
460	1311
462	1179
464	1130
466	1161
468	1028
470	1014
472	1072
474	1096
476	1068
478	1144
480	1129
482	1211
484	1145
486	1111
488	1094
490	1104
492	1025
494	858
496	900
498	945
500	1043
502	1091
504	1060
506	1128
508	1117
510	1103
512	1011
514	1029
516	1082
518	1194
520	1277
522	1372
524	1463
526	1431
528	1432
530	1381
532	1270
534	1186
536	1192
538	1178
540	1244
542	1347
544	1397
546	1473
548	1478
550	1436
552	1549
554	1657
556	1677
558	1681
560	1731
562	1924
564	2035
566	2007
568	1883
570	1897
572	1969
574	1963
576	1836
578	1741
580	1800
582	1834
584	1854
586	1819
588	1755
590	1668
592	1631
594	1637
596	1645
598	1610
600	1731
602	1690
604	1565
606	1375
608	1314
610	1339
612	1280
614	1237
616	1291
618	1403
620	1364
622	1353
624	1288
626	1328
628	1263
630	1053
632	1174
634	1177
636	1089
638	910
640	1035
642	1138
644	1426
646	1801
648	2244
650	2760
652	3067
654	3152
656	2762
658	2271
660	1819
662	1336
664	1340
666	1197
668	1255
670	1461
672	1608
674	1472
676	1418
678	1298
680	1152
682	1295
684	1105
686	977
688	977
690	935
692	793
694	942
696	938
698	946
700	958
702	1005
704	983
706	1021
708	1010
710	1100
712	1249
714	1334
716	1343
718	1256
720	1392
722	1354
724	1374
726	1287
728	1261
730	1087
732	1064
734	852
736	766
738	906
740	1054
742	1205
744	1232
746	1109
748	898
750	732
752	737
754	823
756	829
758	1004
760	1048
762	1068
764	1063
766	968
768	973
770	1086
772	1132
774	1236
776	1204
778	1032
780	996
782	909
784	1047
786	1074
788	1408
790	1530
792	1543
794	1539
796	1443
798	1297
800	1109
802	1128
804	1090
806	1147
808	1082
810	977
812	968
814	971
816	1103
818	1320
820	1457
822	1445
824	1313
826	1280
828	1134
830	943
832	995
834	975
836	1115
838	1072
840	1085
842	1037
844	1042
846	1102
848	1453
850	2088
852	2706
854	3203
856	3860
858	4262
860	4178
862	3643
864	3162
866	2600
868	2018
870	1788
872	1882
874	2418
876	3076
878	3702
880	4256
882	4788
884	4460
886	3799
888	2955
890	2034
892	1261
894	700
896	347
898	479
900	746
902	962
904	1148
906	1151
908	1107
910	947
912	866
914	674
916	543
918	643
920	690
922	691
924	541
926	439
928	419
930	517
932	471
934	625
936	813
938	780
940	721
942	646
944	481
946	515
948	494
950	337
952	340
954	464
956	597
958	541
960	649
962	784
964	821
966	834
968	736
970	654
972	643
974	892
976	982
978	1048
980	1276
982	1136
984	1104
986	1121
988	996
990	770
992	869
994	973
996	934
998	1130
1000	957
1002	805
1004	907
1006	891
1008	1096
1010	1635
1012	2262
1014	2825
1016	3282
1018	3123
1020	2718
1022	2103
1024	1459
1026	1246
1028	864
1030	640
1032	599
1034	600
1036	578
1038	612
1040	572
1042	694
1044	809
1046	761
1048	438
1050	468
1052	498
1054	358
1056	492
1058	526
1060	660
1062	820
1064	973
1066	1145
1068	1264
1070	1242
1072	1009
1074	985
1076	931
1078	914
1080	846
1082	817
1084	683
1086	568
1088	650
1090	870
1092	971
1094	957
1096	870
1098	727
1100	609
1102	556
1104	724
1106	787
1108	971
1110	1054
1112	965
1114	936
1116	974
1118	1222
1120	1348
1122	1451
1124	1165
1126	1146
1128	1029
1130	901
1132	1013
1134	1027
1136	1198
1138	1148
1140	989
1142	851
1144	1047
1146	1036
1148	1175
1150	1306
1152	1408
1154	1642
1156	1739
1158	1736
1160	1796
1162	1797
1164	1644
1166	1577
1168	1359
1170	936
1172	1020
1174	1035
1176	860
1178	1005
1180	811
1182	1055
1184	1236
1186	969
1188	877
1190	1161
1192	1200
1194	1108
1196	1072
1198	792
1200	725
1202	669
1204	531
1206	735
1208	1102
1210	1529
1212	1745
1214	2016
1216	2112
1218	1954
1220	1758
1222	1362
1224	1113
1226	874
1228	766
1230	534
1232	682
1234	812
1236	873
1238	823
1240	859
1242	1056
1244	838
1246	790
1248	597
1250	502
1252	560
1254	778
1256	870
1258	1034
1260	1057
