#Wave	#Intensity
402	48.07168
404	31.45885
406	-67.15879
408	-82.78918
410	-16.43358
412	17.91507
414	39.26545
416	-168.37555
418	-290.00496
420	-382.60297
422	-105.12079
424	-1.47134
426	193.44295
428	543.7198
430	709.4376
432	505.67472
434	342.50954
436	212.02043
438	100.28578
440	229.36277
442	137.29853
444	106.11728
446	91.8295
448	124.43506
450	84.92465
452	-22.72349
454	60.4604
456	84.44833
458	240.20628
460	300.69178
462	174.83836
464	116.57951
466	125.83128
468	-180.50198
470	-198.52847
472	-134.33836
474	-120.00196
476	-31.57613
478	165.89424
480	167.36743
482	306.78513
484	105.07231
486	6.15391
488	-76.05561
490	-129.64242
492	-238.68509
494	-436.2492
496	-407.3765
498	-307.06508
500	-28.27232
502	99.07514
504	143.05344
506	218.72886
508	157.15333
510	46.35696
512	-204.64591
514	-203.84554
516	-152.21173
518	-45.69391
520	139.77372
522	281.26154
524	338.82592
526	249.49514
528	199.29747
530	184.23622
532	78.29477
534	-65.5619
536	-135.37667
538	-113.18585
540	-62.01221
542	-32.8672
544	41.24392
546	177.31919
548	129.35252
550	-36.67992
552	49.18512
554	108.91455
556	45.47036
558	-73.19635
560	-91.13902
562	153.59621
564	144.97233
566	65.93698
568	-126.57672
570	-74.64222
572	23.67965
574	-40.66443
576	-194.73017
578	-300.56923
580	-235.21377
582	-288.6659
584	-115.90421
586	-63.87844
588	-11.52671
590	-70.78078
592	-90.57124
594	5.1784
596	-18.44634
598	-77.36042
600	49.52302
602	116.29858
604	175.05592
606	70.87305
608	187.81048
610	388.92166
612	520.24122
614	425.8038
616	515.64407
618	539.79665
620	421.2962
622	358.17736
624	219.47478
626	212.2231
628	115.43501
630	-81.898
632	39.20398
634	130.72909
636	82.66152
638	-93.0276
640	97.62459
642	47.59026
644	-38.1682
646	-71.69313
648	-147.02309
650	-122.18943
652	-127.20884
654	26.91425
656	-77.81191
658	80.61828
660	84.21817
662	179.99305
664	510.93982
666	584.03733
668	564.26448
670	724.60013
672	915.02317
674	704.51247
676	670.0469
678	491.60534
680	393.16666
682	415.70973
684	107.21343
686	-116.34338
688	-40.99253
690	-70.75426
692	-296.64467
694	-23.6728
696	-32.81803
698	51.94262
700	75.63544
702	179.2815
704	183.89432
706	308.46948
708	307.98417
710	337.41561
712	593.74098
714	770.93749
716	877.98232
718	707.85267
720	924.52574
722	830.97872
724	843.1888
726	608.13319
728	431.78905
730	112.1336
732	31.14401
734	-241.21373
736	-228.97677
738	14.84189
740	258.25211
742	499.26231
744	511.85504
746	368.01289
748	97.71842
750	-176.0458
752	-310.30696
754	-301.07467
756	-354.32749
758	-148.01388
760	-208.04687
762	-108.32468
764	102.27526
766	170.88638
768	268.63184
770	383.61775
772	488.92334
774	632.62784
776	534.81049
778	209.5505
780	137.92712
782	-7.00138
784	34.80949
786	35.4049
788	425.82655
790	581.11262
792	586.30126
794	578.43062
796	422.53888
798	210.6642
800	-71.15528
802	-3.90246
804	33.44688
806	135.91733
808	81.53014
810	-88.70702
812	-75.79464
814	-168.72435
816	-10.48018
818	294.97069
820	538.66215
822	526.62808
824	303.90236
826	279.51886
828	140.51146
830	-77.11391
832	-0.36538
834	62.75664
836	212.25178
838	105.11338
840	107.31357
842	4.81395
844	14.5654
846	115.51834
848	180.62168
850	320.81284
852	61.01114
854	4.13589
856	-41.89965
858	-231.1827
860	-258.79623
862	-170.80013
864	196.7716
866	431.90204
868	598.5546
870	470.69268
872	381.27969
874	393.27902
876	200.65407
878	80.36826
880	262.36491
882	582.57933
884	677.92058
886	675.29771
888	435.6198
890	146.79591
892	-43.26491
894	-163.66826
896	-530.51546
898	-353.89141
900	-78.828
902	308.6783
904	644.63887
906	693.06512
908	793.96844
910	552.36022
912	414.25187
914	138.65478
916	-104.41967
918	99.02606
920	179.99994
922	179.50004
924	-56.49358
926	-236.01879
928	-178.10784
930	-38.76934
932	-48.99413
934	220.23086
936	529.92358
938	431.07997
940	307.69595
942	133.76747
944	-163.70955
946	-8.75256
948	-6.36262
950	-263.53994
952	-231.28408
954	-19.56824
956	219.65749
958	113.44499
960	339.82416
962	473.81359
964	570.43183
966	662.69744
968	429.629
970	182.24506
972	250.5642
974	606.58674
976	762.28798
978	899.6432
980	1155.62768
982	1032.21669
984	1046.38553
986	1043.10946
988	890.36378
990	653.12374
992	833.36463
994	1003.06173
996	942.19031
998	1328.72564
1000	1106.643
1002	923.91765
1004	1132.52487
1006	940.43993
1008	691.63809
1010	796.09462
1012	713.78479
1014	698.68386
1016	772.7671
1018	536.00977
1020	551.38714
1022	599.87446
1024	553.44701
1026	993.08004
1028	1100.74881
1030	826.42858
1032	747.09462
1034	502.72218
1036	497.28652
1038	704.7629
1040	595.12656
1042	863.35278
1044	803.41679
1046	633.29387
1048	-169.04074
1050	-185.61179
1052	-304.42712
1054	-417.47601
1056	-58.7173
1058	171.93192
1060	595.56042
1062	794.23979
1064	961.04162
1066	1039.03749
1068	1182.29899
1070	1075.89769
1072	829.90519
1074	750.39305
1076	665.43287
1078	682.09621
1080	499.45466
1082	389.57979
1084	61.54319
1086	38.41642
1088	249.26491
1090	706.15024
1092	780.10907
1094	748.17804
1096	506.39382
1098	206.79305
1100	20.41239
1102	-184.73219
1104	-2.62677
1106	11.76108
1108	360.464
1110	606.51349
1112	555.94105
1114	715.77817
1116	858.05632
1118	1195.80701
1120	1321.06172
1122	1288.85193
1124	803.20913
1126	703.16481
1128	484.75046
1130	243.99754
1132	381.93755
1134	225.57756
1136	426.92466
1138	355.96338
1140	74.67823
1142	-325.94625
1144	0.06699
1146	53.72759
1148	300.04521
1150	512.02411
1152	707.66856
1154	1066.98284
1156	1159.97121
1158	948.63795
1160	772.98732
1162	785.02358
1164	624.75101
1166	590.17386
1168	393.2964
1170	-139.8771
1172	21.65762
1174	-3.08119
1176	-84.07745
1178	260.68523
1180	-1.76833
1182	327.58665
1184	674.77516
1186	229.82217
1188	-40.24733
1190	103.56863
1192	235.27609
1194	180.87071
1196	310.32461
1198	71.59186
1200	48.62649
1202	201.37539
1204	28.7806
1206	220.76399
1208	481.24459
1210	857.11932
1212	707.28512
1214	829.63892
1216	719.07765
1218	474.49826
1220	485.79766
1222	277.87278
1224	230.62057
1226	144.93794
1228	123.69877
1230	-364.23757
1232	-178.02408
1234	-137.77733
1236	-52.59609
1238	-221.56535
1240	-41.76484
1242	379.74787
1244	11.91936
1246	-47.30376
1248	-456.97609
1250	-497.14747
1252	-280.82209
1254	169.04561
1256	218.52927
1258	635.6856
1260	712.54949
1262	925.1558
1264	1324.53941
1266	1194.7352
1268	1192.77802
1270	1524.70276
1272	1401.54427
1274	976.33743
1276	285.11711
1278	93.91816
1280	16.74693
1282	-106.3996
1284	-385.52616
1286	225.37319
1288	916.34292
1290	1391.40497
1292	1267.58129
1294	1405.89381
1296	1763.36446
1298	1689.0152
1300	1460.86795
1302	2033.94464
1304	2940.26721
1306	3495.85759
1308	3444.7377
1310	3614.92947
1312	3681.45481
1314	3523.33564
1316	3567.59388
1318	3133.25144
1320	3153.33021
1322	3080.8521
1324	2932.83901
1326	3115.31284
1328	3430.29547
1330	3561.80881
1332	3665.87473
1334	3666.51512
1336	3530.75186
1338	3621.60682
1340	3788.10187
1342	4401.25889
1344	5284.09974
1346	5933.64627
1348	6159.92035
1350	5868.94382
1352	5881.73853
1354	5708.3263
1356	5402.72899
1358	4839.9684
1360	4779.06636
1362	4702.04468
1364	4726.92518
1366	4749.72965
1368	4705.47991
1370	5055.19775
1372	4830.90495
1374	4761.62331
1376	5240.37461
1378	5429.18062
1380	5191.06312
1382	4726.04386
1384	4681.14462
1386	4362.38715
1388	3640.7932
1390	3401.38451
1392	3364.18284
1394	3376.20992
1396	3330.48748
1398	3422.03727
1400	3172.88101
1402	3145.04043
1404	2951.53725
1406	2773.39319
1408	3145.62997
1410	2959.2693
1412	2819.33291
1414	2611.84248
1416	2876.81974
1418	2911.28637
1420	2928.2641
1422	3011.7746
1424	3208.83958
