#Wave	#Intensity
1679.006836	2.881422
1678.018555	28.316736
1677.030273	-6.456489
1676.041992	27.099018
1675.052734	25.679777
1674.064453	32.108425
1673.075195	16.152353
1672.084961	-14.634418
1671.095703	-30.049555
1670.105469	-7.483592
1669.115234	-17.383652
1668.125	-37.108711
1667.134766	-3.813816
1666.144531	29.67791
1665.15332	-77.366241
1664.162109	-30.918747
1663.170898	-4.398884
1662.179688	-48.02758
1661.1875	-26.190323
1660.195313	20.904144
1659.203125	-24.723398
1658.210938	-9.961293
1657.21875	25.00742
1656.225586	17.457941
1655.233398	27.598316
1654.239258	15.291411
1653.246094	18.15064
1652.25293	-8.949942
1651.258789	1.650192
1650.264648	17.359291
1649.270508	20.637926
1648.276367	44.040264
1647.28125	44.989594
1646.287109	13.486835
1645.291992	32.123436
1644.296875	65.839386
1643.300781	32.076546
1642.305664	35.90913
1641.30957	-0.200721
1640.313477	26.259342
1639.317383	10.279064
1638.320313	-0.643554
1637.324219	5.977687
1636.327148	-39.807175
1635.330078	-38.081951
1634.332031	-48.798538
1633.334961	-14.540428
1632.336914	32.217995
1631.338867	-35.780041
1630.34082	-3.936061
1629.342773	10.467141
1628.34375	-24.977173
1627.344727	-15.506961
1626.345703	-8.508595
1625.34668	10.969202
1624.347656	27.968531
1623.347656	189.449905
1622.347656	179.048035
1621.347656	235.89212
1620.347656	205.602066
1619.34668	202.714813
1618.34668	167.494339
1617.345703	224.345947
1616.34375	343.364136
1615.342773	280.813751
1614.341797	444.539307
1613.339844	416.808807
1612.337891	498.442169
1611.334961	572.593384
1610.333008	683.980103
1609.330078	698.465759
1608.328125	715.432617
1607.324219	779.563416
1606.321289	866.008484
1605.318359	860.605103
1604.314453	942.039551
1603.310547	1068.0896
1602.306641	1345.363037
1601.301758	1736.573364
1600.297852	2487.057617
1599.292969	3274.402344
1598.288086	3813.633789
1597.283203	3626.786377
1596.277344	2801.004395
1595.272461	2002.80896
1594.266602	1445.096558
1593.260742	1073.261353
1592.253906	889.660645
1591.248047	780.363403
1590.241211	703.270142
1589.234375	712.77002
1588.227539	863.206726
1587.219727	1055.606689
1586.212891	1411.052124
1585.205078	1968.977295
1584.197266	3018.30957
1583.189453	4215.404785
1582.180664	4878.581543
1581.171875	4788.436035
1580.163086	4118.237793
1579.154297	3460.663086
1578.145508	2976.087891
1577.135742	2580.52832
1576.126953	2266.529785
1575.117188	1908.279785
1574.106445	1414.588989
1573.09668	1093.648926
1572.085938	777.776428
1571.075195	585.231812
1570.064453	488.841187
1569.053711	486.081421
1568.041992	439.007324
1567.03125	364.879547
1566.019531	364.625214
1565.006836	307.780823
1563.995117	228.825241
1562.982422	243.376694
1561.970703	201.368683
1560.957031	142.17511
1559.944336	129.718094
1558.931641	97.613327
1557.917969	122.042877
1556.904297	33.468811
1555.890625	67.74263
1554.876953	45.533833
1553.862305	18.433493
1552.847656	8.535299
1551.833008	6.012757
1550.818359	-23.486877
1549.802734	3.453464
1548.788086	27.940228
1547.772461	-23.581766
1546.756836	3.372884
1545.740234	64.639198
1544.724609	3.373154
1543.708008	-11.308959
1542.691406	54.853851
1541.674805	45.087494
1540.657227	50.026745
1539.640625	72.109894
1538.623047	47.698051
1537.605469	13.521641
1536.586914	20.95763
1535.569336	-3.391573
1534.550781	18.740459
1533.532227	-10.462404
1532.513672	28.795635
1531.494141	-19.92086
1530.475586	77.982422
1529.456055	4.875266
1528.436523	27.052826
1527.416016	59.000198
1526.396484	12.832795
1525.375977	17.949028
1524.355469	27.955782
1523.334961	8.696826
1522.313477	-20.297012
1521.292969	-7.812507
1520.271484	-48.955448
1519.25	-36.444988
1518.228516	7.752436
1517.206055	-57.69455
1516.183594	-20.794296
1515.161133	-32.605209
1514.138672	9.167655
1513.116211	9.550708
1512.092773	63.489857
1511.069336	59.018124
1510.045898	139.707458
1509.022461	271.45163
1507.998047	390.992554
1506.974609	508.061798
1505.950195	520.570862
1504.924805	518.504089
1503.900391	462.994202
1502.875	397.801544
1501.850586	206.354507
1500.824219	228.677399
1499.798828	127.189453
1498.773438	108.276009
1497.74707	135.485519
1496.720703	87.482773
1495.694336	63.764423
1494.666992	64.315346
1493.640625	113.364136
1492.613281	12.109404
1491.585938	73.280968
1490.557617	151.395035
1489.530273	79.286652
1488.501953	43.545403
1487.473633	75.626205
1486.445313	78.647285
1485.416016	81.672821
1484.387695	29.042805
1483.358398	10.312002
1482.329102	52.065571
1481.299805	113.152184
1480.269531	46.069702
1479.239258	102.303795
1478.208984	216.520752
1477.178711	163.964813
1476.148438	179.075775
1475.117188	143.461197
1474.085938	132.010696
1473.054688	154.365555
1472.023438	193.607544
1470.991211	191.808319
1469.958984	76.611084
1468.926758	111.019455
1467.894531	34.473644
1466.861328	30.29516
1465.829102	-22.097734
1464.795898	-28.676947
1463.762695	-32.846516
1462.728516	13.574967
1461.695313	-33.963753
1460.661133	-35.731487
1459.626953	-13.426905
1458.592773	-15.207413
1457.557617	-33.837631
1456.522461	5.279829
1455.487305	22.724783
1454.452148	-10.349589
1453.416992	-19.371437
1452.380859	14.876069
1451.344727	-8.582212
1450.308594	-24.829422
1449.272461	14.178592
1448.235352	-42.915951
1447.199219	17.67454
1446.162109	32.612835
1445.124023	61.938004
1444.086914	0.043958
1443.048828	10.147869
1442.010742	-22.943047
1440.972656	15.919666
1439.93457	4.399515
1438.895508	-11.921794
1437.856445	43.656113
1436.817383	-20.617558
1435.77832	-13.00292
1434.739258	4.176338
1433.699219	4.571741
1432.65918	4.953019
1431.619141	-11.436234
1430.578125	-18.259739
1429.538086	-20.310102
1428.49707	18.293114
1427.456055	30.555727
1426.414063	33.232994
1425.373047	4.814091
1424.331055	67.217232
1423.289063	77.004936
1422.24707	101.106392
1421.204102	122.792099
1420.162109	115.793602
1419.119141	137.4319
1418.076172	99.366066
1417.032227	166.307709
1415.989258	87.652733
1414.945313	23.326468
1413.901367	49.640255
1412.857422	73.539307
1411.8125	28.272917
1410.767578	-12.226347
1409.722656	44.974583
1408.677734	75.924065
1407.632813	83.020882
1406.586914	25.795635
1405.541016	85.240601
1404.495117	30.379452
1403.448242	49.298672
1402.402344	56.292248
1401.355469	39.473225
1400.308594	53.55954
1399.261719	60.48531
1398.213867	48.368172
1397.166016	21.97415
1396.118164	102.505051
1395.070313	95.074875
1394.022461	187.389404
1392.973633	210.77356
1391.924805	217.506332
1390.875977	129.263885
1389.827148	171.56723
1388.777344	88.074982
1387.727539	42.55294
1386.677734	61.065567
1385.62793	-12.928595
1384.577148	-13.420969
1383.527344	-21.044813
1382.476563	2.118598
1381.424805	20.511793
1380.374023	38.87611
1379.322266	40.633694
1378.270508	56.574989
1377.21875	1.474584
1376.166992	52.87429
1375.114258	61.640396
1374.061523	8.876449
1373.008789	-15.504658
1371.956055	54.686623
1370.902344	-33.565331
1369.849609	-13.076033
1368.795898	5.020296
1367.741211	11.275237
1366.6875	-15.56006
1365.632813	11.910003
1364.578125	53.514275
1363.523438	31.348032
1362.467773	13.891081
1361.413086	-8.295732
1360.357422	-30.492859
1359.301758	25.128984
1358.245117	52.412109
1357.189453	63.163898
1356.132813	29.110813
1355.076172	35.112988
1354.019531	29.315384
1352.961914	35.278557
1351.904297	34.157246
1350.84668	101.295273
1349.789063	24.80348
1348.731445	40.107891
1347.672852	13.037698
1346.614258	54.179958
1345.555664	57.659939
1344.496094	4.691138
1343.4375	-5.954928
1342.37793	13.94105
1341.318359	33.813763
1340.257813	46.614754
1339.198242	82.884583
1338.137695	6.409485
1337.077148	75.512054
1336.016602	-7.996102
1334.955078	-11.694507
1333.893555	-31.826843
1332.832031	20.753141
1331.770508	35.776184
1330.708984	-3.145415
1329.646484	37.638306
1328.583984	5.741398
1327.521484	-12.093177
1326.458008	26.291363
1325.395508	8.440785
1324.332031	-30.486626
1323.268555	-41.312939
1322.204102	-42.781902
1321.140625	-51.277058
1320.076172	-38.721558
1319.011719	-54.247002
1317.946289	-39.373058
1316.881836	-54.904812
1315.816406	-0.312175
1314.750977	-15.858582
1313.685547	-50.09523
1312.619141	-2.564203
1311.552734	16.916185
1310.486328	31.714172
1309.419922	34.829956
1308.353516	28.605471
1307.286133	-14.955046
1306.21875	-18.839472
1305.151367	-8.72977
1304.083008	15.363989
1303.015625	46.441532
1301.947266	77.503471
1300.878906	68.935501
1299.80957	69.6894
1298.741211	33.175537
1297.671875	73.528511
1296.602539	39.359104
1295.532227	82.022697
1294.462891	122.343857
1293.392578	118.439705
1292.322266	144.78183
1291.250977	119.947754
1290.180664	232.319794
