#Wave	#Intensity
1184.642578	11549.83691
1183.551758	11563.54297
1182.461914	11618.14551
1181.371094	11501.46875
1180.280273	11460.17871
1179.189453	11569.54395
1178.098633	11674.29785
1177.006836	11699.15527
1175.915039	11555.21289
1174.823242	11728.31348
1173.731445	11673.34375
1172.638672	11951.19824
1171.546875	11882.52832
1170.453125	11681.73731
1169.360352	11622.26563
1168.267578	11915.83106
1167.173828	11589.92481
1166.080078	11601.08203
1164.986328	11705.55078
1163.891602	11709.85059
1162.796875	11680.02148
1161.702148	11622.91113
1160.607422	11533.98731
1159.512695	11670.18457
1158.416992	11679.0293
1157.321289	11644.69141
1156.225586	11508.12402
1155.128906	11685.09473
1154.032227	11469.08691
1152.936523	11854.88477
1151.838867	11736.54785
1150.742188	11761.24805
1149.644531	11583.9834
1148.546875	11694.91406
1147.449219	11685.58203
1146.351563	11803.24414
1145.25293	11603.44922
1144.154297	11691.60938
1143.055664	11936.09961
1141.957031	11670.69727
1140.857422	11693.0918
1139.757813	11885.33203
1138.658203	11889.55566
1137.558594	11533.83984
1136.458008	11798.41211
1135.358398	11614.83887
1134.256836	11793.31152
1133.15625	11813.37988
1132.055664	11840.22168
1130.954102	11846.70508
1129.852539	11629.41113
1128.75	11658.53418
1127.648438	11827.72363
1126.545898	11777.72949
1125.443359	11833.89941
1124.34082	11671.0293
1123.237305	11833.29492
1122.134766	11882.64356
1121.03125	11927.45703
1119.926758	11893.29297
1118.823242	11904.25195
1117.71875	11770.88867
1116.614258	11910.37207
1115.509766	11741
1114.404297	11920.99121
1113.299805	12024.30176
1112.194336	11974.39551
1111.088867	12149.71387
1109.982422	12090.79395
1108.875977	12076.9209
1107.769531	12342.12305
1106.663086	12328.2002
1105.556641	12613.47754
1104.449219	12457.80664
1103.341797	12626.00293
1102.234375	12472.64258
1101.126953	12469.93945
1100.018555	12444.7666
1098.910156	12372.42285
1097.801758	12349.52539
1096.693359	12146.98242
1095.583984	12429.49121
1094.474609	12096.82227
1093.365234	12035.84961
1092.254883	12387.75293
1091.145508	11970.0625
1090.035156	12075.12012
1088.924805	12059.04785
1087.813477	12327.69141
1086.703125	12163.6416
1085.591797	12273.04492
1084.480469	12008.26172
1083.369141	12348.35547
1082.256836	12117.25977
1081.144531	12078.80762
1080.032227	12396.27832
1078.919922	12288.40625
1077.806641	12095.55664
1076.693359	12249.51758
1075.580078	12340.78906
1074.466797	12034.01758
1073.352539	12185.65332
1072.238281	12033.26172
1071.124023	12052.99316
1070.009766	12405.58691
1068.894531	12244.30957
1067.780273	12277.37891
1066.665039	12225.59473
1065.548828	12187.22461
1064.433594	12102.00684
1063.317383	12114.99414
1062.201172	12297.50391
1061.083984	12419.71973
1059.967773	12227.49805
1058.850586	12251.58887
1057.733398	12262.29785
1056.616211	12264.08691
1055.498047	12328.25195
1054.379883	12354.52441
1053.261719	12309.52832
1052.143555	12373.63867
1051.024414	12455.52637
1049.90625	12337.10059
1048.787109	12278.79492
1047.666992	12460.74219
1046.547852	12382.41895
1045.427734	12399.7334
1044.307617	12519.29297
1043.1875	12312.10645
1042.066406	12382.74805
1040.945313	12226.77246
1039.824219	12324.05176
1038.703125	12476.79981
