#Wave	#Intensity
402	3253.82012
404	3435.49621
406	3395.17231
408	3216.84839
410	2907.52445
412	2345.20048
414	1723.87646
416	916.55237
418	267.2282
420	-188.18774
422	-320.81384
424	-514.74968
426	-478.06275
428	-310.76909
430	-201.8369
432	-326.20332
434	-427.78532
436	-423.46724
438	-418.09062
440	-197.45469
442	-109.31684
444	58.58526
446	166.52489
448	384.76945
450	532.56972
452	623.13798
454	764.63326
456	835.15226
458	863.71526
460	889.25898
462	647.63379
464	516.60114
466	382.8577
468	124.0485
470	-53.21972
472	-75.35265
474	-122.75061
476	-286.80643
478	-301.90065
480	-389.38511
482	-362.5815
484	-540.77253
486	-633.20467
488	-700.07033
490	-653.49858
492	-702.54848
494	-883.21375
496	-808.41787
498	-665.99596
500	-439.70235
502	-251.22472
504	-90.20683
506	129.73273
508	283.98436
510	439.92549
512	501.90516
514	665.22841
516	856.15011
518	1089.85858
520	1308.45654
522	1434.0467
524	1425.73179
526	1287.61452
528	1167.7976
530	972.38374
532	685.47565
534	427.07881
536	266.13014
538	40.52387
540	-152.87241
542	-263.19514
544	-283.56547
546	-316.07826
548	-312.79997
550	-269.76549
552	-109.97842
554	74.58463
556	220.95803
558	384.1687
560	719.22147
562	1303.08275
564	1834.64701
566	2372.80874
568	2672.46243
570	2882.50256
572	2881.8236
574	2529.32002
576	1875.88631
578	1181.41692
580	632.80633
582	131.94901
584	-59.32387
586	-218.19432
588	-342.83839
590	-467.41036
592	-496.0302
594	-446.77114
596	-471.65681
598	-555.66617
600	-533.731
602	-199.72753
604	1173.5214
606	3150.21291
608	5900.54411
610	8364.71212
612	10555.91407
614	11664.34705
616	10892.20815
618	8852.69446
620	6155.00305
622	3711.33098
624	1715.8753
626	587.83307
628	-17.59866
630	-152.28162
632	238.92421
634	601.17409
636	645.59938
638	598.27133
640	635.19663
642	356.32213
644	-42.46882
646	-359.3285
648	-639.40498
650	-651.81035
652	-549.59278
654	-219.73527
656	112.83414
658	488.20941
660	635.47319
662	619.65932
664	769.73809
666	568.61783
668	287.12988
670	137.04874
672	153.12019
674	-10.9237
676	-29.36617
678	-63.48936
680	-138.57248
682	-21.88839
684	-193.69609
686	-399.2524
688	-447.79476
690	-546.52069
692	-725.58294
694	-511.07959
696	-385.03617
698	-259.42712
700	-197.18834
702	-51.22982
704	-8.44181
706	-26.70947
708	-71.91707
710	-78.94623
712	78.3286
714	211.04089
716	299.31628
718	165.25929
720	363.94452
722	355.43005
724	309.73753
726	189.85312
728	119.73197
730	-29.68975
732	-73.48782
734	-248.73509
736	-312.49704
738	-134.81426
740	-2.69611
742	105.86152
744	68.86303
746	-58.69777
748	-300.83396
750	-558.55275
752	-534.83127
754	-431.59079
756	-287.69909
758	298.01919
760	973.76819
762	1900.72226
764	3173.95834
766	4337.55341
768	5530.58441
770	6681.12831
772	7482.26205
774	7916.06257
776	7870.60679
778	7302.97166
780	6525.23408
782	5363.47096
784	4210.75921
786	3089.17572
788	2350.79739
790	1713.70112
792	1116.96377
794	776.66225
796	485.87345
798	276.59656
800	-5.21775
802	-7.64654
804	12.23371
806	46.34725
808	-27.38288
810	-243.03828
812	-348.69782
814	-439.41603
816	-253.21262
818	-108.06333
820	136.08142
822	228.28201
824	172.58521
826	264.01497
828	216.57798
830	47.25452
832	73.00322
834	37.77799
836	58.52542
838	7.18835
840	-67.29626
842	-126.99215
844	-94.95634
846	-17.23314
848	-56.85738
850	-13.86215
852	-147.27488
854	-61.12157
856	-25.41355
858	-110.15598
860	-149.35152
862	-148.9918
864	50.94648
866	47.50154
868	158.70647
870	79.58965
872	-52.83646
874	18.4327
876	24.40692
878	-61.90582
880	125.5
882	412.63612
884	471.50169
886	522.05462
888	275.20567
890	-67.1866
892	-162.29117
894	-232.27029
896	-556.26997
898	-409.41302
900	-224.76659
902	63.64308
904	284.81225
906	326.73079
908	401.36013
910	203.62897
912	-12.57407
914	-231.38076
916	-328.92161
918	-193.304
920	-90.6024
922	-39.87197
924	-122.15879
926	-199.50496
928	-132.94037
930	-7.47495
932	55.89465
934	282.17253
936	449.35722
938	359.41901
940	239.28327
942	54.83942
944	-222.04704
946	-201.51611
948	-238.68558
950	-441.65306
952	-418.49234
954	-291.23301
956	-150.86282
958	-169.3404
960	-70.60929
962	46.40389
964	88.77961
966	116.59366
968	-55.08701
970	-281.20712
972	-301.70591
974	-129.49446
976	-95.45369
978	-17.45159
980	147.65341
982	36.00463
984	43.73061
986	96.95631
988	-75.1977
990	-195.62054
992	-91.19382
994	44.22043
996	79.7693
998	334.59543
1000	279.83351
1002	267.58476
1004	493.92243
1006	352.89298
1008	229.49352
1010	224.68584
1012	257.4088
1014	222.57877
1016	217.0864
1018	61.80007
1020	-39.43354
1022	-64.77393
1024	-205.37667
1026	35.60917
1028	25.05503
1030	-148.17119
1032	-66.2041
1034	-125.16349
1036	-11.16255
1038	174.69808
1040	155.31884
1042	311.58272
1044	240.3572
1046	46.47855
1048	-480.24096
1050	-474.9937
1052	-564.92405
1054	-722.12886
1056	-579.6485
1058	-506.45114
1060	-297.44697
1062	-163.49553
1064	-104.42663
1066	-46.05373
1068	74.82016
1070	3.39664
1072	-205.13019
1074	-243.56656
1076	-209.69819
1078	-44.28642
1080	115.92834
1082	383.21013
1084	530.8114
1086	775.94628
1088	1077.77581
1090	1402.38344
1092	1335.85261
1094	1023.26678
1096	592.7094
1098	125.16157
1100	-202.45484
1102	-508.2305
1104	-494.23583
1106	-470.49044
1108	-284.96448
1110	-142.5811
1112	-81.23492
1114	214.19369
1116	658.83248
1118	1338.78777
1120	1984.10004
1122	2562.80971
1124	2832.95723
1126	3068.58306
1128	3061.72762
1130	2807.43137
1132	2469.73473
1134	1877.67813
1136	1540.30201
1138	1083.6468
1140	607.75291
1142	246.66078
1144	210.35005
1146	26.77571
1148	-99.12829
1150	-285.43068
1152	-396.19027
1154	-277.43734
1156	-200.16254
1158	-192.32878
1160	-20.87895
